Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
1,"1. CERTO Kancelaria M. Janowicz – Stradomska i Wspólnicy sp. k. z siedzibą w Warszawie

2. LoanMe sp. z o.o. z siedzibą w Warszawie

3. Ulgaoddlugu.pl sp. z o.o. w likwidacji z siedzibą w Warszawie

4. XL Serwis sp. z o.o. z siedzibą w Warszawie",1. KRS 3993832. KRS 5441003. KRS 8740754. KRS 896090,Prokuratura Okręgowa w Warszawie,,Postępowanie w sprawie o czyn z art. 171 ust. 1 ustawy Prawo bankowe. Przewodniczący KNF przystąpił do postępowania zainicjowanego przez inny podmiot.,19.11.2021,
2,"1. Grand Marshall Ltd. z siedzibą w Republice Wysp Marshalla, administrator platformy handlowej GrandTrade Exchange (www.grandtrade.exchange) 

2. Grand Nova Ltd. z siedzibą we Wspólnocie Dominiki, administrator platform handlowych: GrandTrade Exchange (www.grandtrade.exchange), SwissTrade Exchange (www.swisstrade.exchange) oraz LondonTrade Exchange (www.londontrade.exchange)

3. Capital Mog Co Ltd. z siedzibą w Japonii, administrator platform handlowych: SwissTrade Exchange (www.swisstrade.exchange), LondonTrade Exchange (www.londontrade.exchange)

4. Clear Media Ltd. z siedzibą w Hongkongu, administrator platformy handlowej TradeMarkets Exchange (www.trademarkets.exchange)",podmioty nie są zarejestrowane w Polsce,Prokuratura Okręgowa w Warszawie,,Postępowanie w sprawie o czyn z art. 171 ust. 1 ustawy Prawo bankowe. Przewodniczący KNF przystąpił do postępowania zainicjowanego przez inny podmiot.,15.09.2020,
3,"ACM Alpha Consulting Management AG z siedzibą w Wollerau, Szwajcaria",podmiot nie jest zarejestrowany w Polsce,Prokuratura Okręgowa w Warszawie,,Zawiadomienie z art. 171 ust. 1 ustawy Prawo bankowe. Zawiadomienie kierowane przez UKNF.,22.12.2018,
4,"ACM Alpha Consulting Management EST z siedzibą w Vaduz, Lichtenstein",podmiot nie jest zarejestrowany w Polsce,Prokuratura Okręgowa w Warszawie,,Zawiadomienie z art. 171 ust. 1 ustawy Prawo bankowe. Zawiadomienie kierowane przez UKNF.,22.12.2018,
5,Aforti Finance SA,KRS 436229; NIP 5252540891; REGON 146346308,Prokuratura Okręgowa w Warszawie,,Zawiadomienie z art. 171 ust. 1 ustawy Prawo bankowe. Zawiadomienie kierowane przez UKNF.,26.07.2023,
6,Alkor Trade sp. z o.o. z siedzibą w Józefowie (obecnie JW Investments sp. z o.o.),KRS 371362,Prokuratura Okręgowa w Warszawie (sprawa przekazana do Prokuratury Okręgowej w Ostrołęce),,"Zawiadomienie z art. 171 ust. 1 ustawy Prawo bankowe.
Zawiadomienie kierowane przez UKNF.",20.08.2012,
7,Amber Gold sp. z o.o. z siedzibą w Gdańsku (w upadłości likwidacyjnej),KRS 322228,Prokuratura Rejonowa Gdańsk – Oliwa (sprawa przekazana do Prokuratury Okręgowej w Łodzi),,"Zawiadomienie z art. 171 ust. 1 ustawy Prawo bankowe.
Zawiadomienie kierowane przez UKNF.",15.12.2009,
8,Amethyst UE sp. z o.o. z siedzibą we Wrocławiu,KRS 750733,Prokuratura Rejonowa dla Wrocławia Stare Miasto,,Zawiadomienie z art. 171 ust. 2 ustawy Prawo bankowe. Zawiadomienie kierowane przez UKNF.,25.05.2023,
9,Anderson Holding Polska sp. z o.o. z siedzibą w Katowicach,KRS 416988,Prokuratura Okręgowa w Warszawie,,"Zawiadomienie z art. 171 ust. 3 w zw. z art. 171 ust. 1 ustawy Prawo bankowe.
Zawiadomienie kierowane przez UKNF.",05.04.2013,
10,ARTGOL Mobilny Serwis Komputerowy Artur Golo,NIP 9531580331,Prokuratura Rejonowa Bydgoszcz-Północ,31 grudnia 2015 r. Prokurator Prokuratury Rejonowej Bydgoszcz - Północ wydał postanowienie o umorzeniu postępowania.,"Zawiadomienie z art. 171 ust. 1 ustawy Prawo bankowe.
Zawiadomienie kierowane przez UKNF.",30.01.2014,31.12.2015
11,Assay Management sp. z o.o. Assay Alternatywna Spółka Inwestycyjna S.K.A.,KRS 793021,Prokuratura Okręgowa w Warszawie,,Postępowanie w sprawie o czyn z art. w art. 171 ust. 1 Prawo bankowe. Przewodniczący KNF przystąpił do postępowania zainicjowanego przez inny podmiot.,12.07.2023,
12,Atlantic Global Asset Management SA z siedzibą w Republice Zielonego Przylądka,podmiot nie jest zarejestrowany w Polsce,Prokuratura Okręgowa w Warszawie,,"Zawiadomienie z art. 171 ust. 1 ustawy Prawo bankowe.
Zawiadomienie kierowane przez UKNF.",31.03.2017,
